Frequency (Hz),RCS (m²)
3515611222.4448895,0.0024983911633661192
3565691382.7655306,0.00246150528022359
3615771543.086172,0.0024188627908809626
3665851703.4068136,0.002370878746521844
3715931863.7274547,0.0023179775127819676
3766012024.0480957,0.0022605874221218445
3816092184.368737,0.0021991363517425756
3866172344.6893787,0.002134048196396122
3916252505.01002,0.0020657401770800103
3966332665.330661,0.001994620906710939
4016412825.6513023,0.0019210891213933645
4066492985.971944,0.0018455329795928517
4116573146.292585,0.0017683298300998518
4166653306.613226,0.0016898463519063832
4216733466.9338675,0.001610438973932342
4266813627.254509,0.0015304544890232343
4316893787.57515,0.0014502307840780213
4366973947.895791,0.0013700976160187
4417054108.216433,0.0012903773712115805
4467134268.537074,0.0012113857536653308
4517214428.857716,0.001133432354750352
4567294589.178356,0.0010568210642849765
4617374749.498998,0.0009818502896587207
4667454909.819639,0.0009088129562955593
4717535070.14028,0.0008379962693070409
4767615230.460921,0.0007696812227558516
4817695390.781563,0.0007041418496420912
4867775551.102204,0.0006416442126084704
4917855711.422846,0.0005824451424701939
4967935871.743486,0.0005267907389966502
5018016032.064128,0.00047491465583834967
5068096192.384769,0.0004270361989798711
5118176352.70541,0.00038335827542764487
5168256513.0260515,0.0003440652357785774
5218336673.346693,0.00030932066058747375
5268416833.667335,0.0002792651457550986
5318496993.987976,0.00025401414618159097
5368577154.308617,0.0002336559393697807
5418657314.629258,0.00021824977125364954
5468737474.9499,0.00020782424506227427
5518817635.27054,0.00020237601038596058
5568897795.591182,0.0002018688037683418
5618977955.911823,0.00020623288420092075
5669058116.232465,0.0002153648970612735
5719138276.553106,0.000229128188646569
5769218436.873747,0.0002473535809476989
5819298597.194388,0.00026984060320496507
5869378757.51503,0.00029635916365347234
5919458917.83567,0.00032665163228975323
5969539078.156312,0.00036043529403238995
6019619238.4769535,0.00039740512181062434
6069699398.797595,0.0004372368113058144
6119779559.118237,0.00047959001358391465
6169859719.438877,0.0005241116988525022
6219939879.759519,0.0005704395840750548
6270020040.08016,0.0006182055590670067
6320100200.400801,0.0006670390497537416
6370180360.721442,0.0007165702631649407
6420260521.042084,0.000766433266079889
6470340681.362725,0.0008162688575921096
6520420841.683367,0.0008657272047875812
6570501002.004007,0.0009144702198047257
6620581162.324649,0.0009621736653808726
6670661322.64529,0.0010085289842600917
6720741482.965931,0.0010532448552786526
6770821643.286572,0.00109604848536524
6820901803.607214,0.0011366866519735125
6870981963.9278555,0.0011749265145495186
6921062124.248497,0.001210556216530204
6971142284.569138,0.0012433853011228253
7021222444.889779,0.0012732449648184274
7071302605.210421,0.0012999881723607515
7121382765.531061,0.001323489655858099
7171462925.851703,0.0013436458190297074
7221543086.172344,0.0013603745653616372
7271623246.492986,0.0013736150663464187
7321703406.813627,0.0013833274831239392
7371783567.134268,0.0013894926518452171
7421863727.454909,0.0013921117400511683
7471943887.775551,0.0013912058783876527
7522024048.096191,0.0013868157691470098
7572104208.416833,0.0013790012705050569
7622184368.737474,0.0013678409529706025
7672264529.058116,0.0013534316225336102
7722344689.378757,0.001335887803330518
7772424849.699398,0.0013153411713767494
7822505010.02004,0.00129193993007492
7872585170.340681,0.0012658481178131151
7922665330.661322,0.0012372448380333924
7972745490.981963,0.0012063234026797034
8022825651.302605,0.0011732903809205306
8072905811.623246,0.0011383645464672536
8122985971.943888,0.001101775718645613
8173066132.264528,0.0010637634945827941
8223146292.58517,0.001024575872392184
8273226452.905811,0.0009844677680043656
8323306613.226452,0.000943699431227704
8373386773.547093,0.0009025347696356269
8423466933.867735,0.0008612395918739143
