Frequency (Hz),RCS (m²)
15156513026.052103,4.909056409128069e-05
15236653306.613226,4.6362837574803406e-05
15316793587.174347,4.3769251811458e-05
15396933867.73547,4.131292487660861e-05
15477074148.296593,3.899679305340871e-05
15557214428.857714,3.682360013321334e-05
15637354709.418837,3.479588675372298e-05
15717494989.97996,3.2915979856419404e-05
15797635270.54108,3.118598234690041e-05
15877775551.102203,2.9607763043093733e-05
15957915831.663326,2.818294699696804e-05
16038056112.224447,2.6912906275207758e-05
16118196392.78557,2.57987512833588e-05
16198336673.346693,2.484132271613587e-05
16278476953.907814,2.4041184213908903e-05
16358617234.468937,2.3398615801840955e-05
16438757515.03006,2.291360818374766e-05
16518897795.59118,2.2585857957503278e-05
16599038076.152304,2.2414763812773192e-05
16679178356.713425,2.2399423765051587e-05
16759318637.274548,2.2538633472488898e-05
16839458917.83567,2.283088567388251e-05
16919599198.396791,2.327437077756382e-05
16999739478.957914,2.386697862183856e-05
17079879759.519037,2.460630141823905e-05
17160020040.080158,2.5489637879232317e-05
17240160320.64128,2.651399852232381e-05
17320300601.202404,2.7676112132820665e-05
17400440881.763527,2.897243335799472e-05
17480581162.32465,3.039915139614138e-05
17560721442.88577,3.195219973517448e-05
17640861723.44689,3.362726688705467e-05
17721002004.008015,3.5419808056611757e-05
17801142284.569138,3.732505767629483e-05
17881282565.13026,3.9338042732145135e-05
17961422845.691383,4.145359680090623e-05
18041563126.252502,4.3666374713719246e-05
18121703406.813625,4.5970867758347026e-05
18201843687.37475,4.836141932933439e-05
18281983967.93587,5.0832240933977566e-05
18362124248.496994,5.337742846142356e-05
18442264529.058113,5.59909786226178e-05
18522404809.619236,5.866680547016877e-05
18602545090.18036,6.139875690940234e-05
18682685370.74148,6.418063111492836e-05
18762825651.302605,6.700619277082215e-05
18842965931.863728,6.98691890569931e-05
18923106212.424847,7.276336530936995e-05
19003246492.98597,7.568248028707641e-05
19083386773.547092,7.862032098574732e-05
19163527054.108215,8.157071694240558e-05
19243667334.66934,8.452755398382767e-05
19323807615.23046,8.748478737695978e-05
19403947895.79158,9.043645434661709e-05
19484088176.352703,9.33766859323596e-05
19564228456.913826,9.629971816293631e-05
19644368737.47495,9.919990253306122e-05
19724509018.03607,0.00010207171577335326
19804649298.597195,0.00010490976891007546
19884789579.158314,0.00010770881561674171
19964929859.719437,0.00011046375986471016
20045070140.28056,0.00011316966288450635
20125210420.841682,0.00011582174945380078
20205350701.402805,0.00011841541353169121
20285490981.96393,0.00012094622326218256
20365631262.525047,0.00012340992537254673
20445771543.08617,0.00012580244899454264
20525911823.647293,0.00012811990893834353
20606052104.208416,0.00013035860845041718
20686192384.76954,0.0001325150414875826
20766332665.330658,0.00013458589454005244
20846472945.89178,0.000136568048036447
20926613226.452904,0.0001384585773636171
21006753507.014027,0.00014025475353361615
21086893787.57515,0.00014195404352937467
21167034068.136272,0.00014355411035956822
21247174348.69739,0.0001450528128518835
21327314629.258514,0.00014644820521236734
21407454909.819637,0.0001477385363768643
21487595190.38076,0.0001489222491787083
21567735470.941883,0.00014999797935486654
21647875751.503006,0.00015096455441066604
21728016032.064125,0.00015182099236110878
21808156312.625248,0.0001525665003645765
21888296593.18637,0.00015320047326252282
21968436873.747494,0.00015372249203651992
22048577154.308617,0.0001541323221918224
22128717434.86974,0.0001544299120744193
22208857715.43086,0.00015461539112642656
22288997995.99198,0.00015468906808258708
22369138276.553104,0.00015465142910866107
22449278557.114227,0.00015450313588058302
22529418837.67535,0.00015424502360145967
22609559118.236473,0.000153878098951797
22689699398.797592,0.00015340353796678476
22769839679.358715,0.0001528226838330271
22849979959.919838,0.00015213704459583773
22930120240.48096,0.00015134829076705284
23010260521.042084,0.00015045825282236744
23090400801.603203,0.00014946891857634684
23170541082.164326,0.00014838243042263714
23250681362.72545,0.0001472010824264112
23330821643.28657,0.0001459273172557777
23410961923.847694,0.00014456372293876997
23491102204.408817,0.00014311302943256549
23571242484.969936,0.00014157810499184563
23651382765.53106,0.00013996195232360642
23731523046.092182,0.00013826770451633188
23811663326.653305,0.00013649862073221715
23891803607.214428,0.00013465808165206785
23971943887.77555,0.00013274958466362197
24052084168.33667,0.00013077673878530828
24132224448.897793,0.000128743259318886
24212364729.458916,0.00012665296222597825
24292505010.02004,0.0001245097582252183
24372645290.58116,0.00012231764660854436
24452785571.142284,0.0001200807087771206
24532925851.703403,0.00011780310149936697
24613066132.264526,0.00011548904989569628
24693206412.82565,0.00011314284015669935
24773346693.386772,0.00011076881200371438
24853486973.947895,0.00010837135090293712
24933627254.509018,0.00010595488004643355
25013767535.070137,0.00010352385211561435
25093907815.63126,0.00010108274084486831
25174048096.192383,9.863603240514989e-05
25254188376.753506,9.618821662929623e-05
25334328657.31463,9.37437781027549e-05
25414468937.87575,9.130718714514931e-05
25494609218.43687,8.888289070974123e-05
25574749498.997993,8.647530322927963e-05
25654889779.559116,8.408879743801072e-05
25735030060.12024,8.172769520067762e-05
25815170340.681362,7.939625838019647e-05
25895310621.24248,7.709867977633338e-05
25975450901.803604,7.48390741681042e-05
26055591182.364727,7.26214694927755e-05
26135731462.92585,7.044979819426547e-05
26215871743.486973,6.832788877341342e-05
26296012024.048096,6.625945757201553e-05
26376152304.609215,6.424810082170836e-05
26456292585.170338,6.229728698773649e-05
26536432865.73146,6.041034943637018e-05
26616573146.292583,5.8590479453249766e-05
26696713426.853706,5.684071963825472e-05
26776853707.41483,5.516395770063119e-05
26856993987.97595,5.356292067606777e-05
26937134268.53707,5.2040169585251166e-05
27017274549.098194,5.059809455112004e-05
27097414829.659317,4.9238910389640625e-05
27177555110.22044,4.7964652686450415e-05
27257695390.781563,4.677717436917474e-05
27337835671.34268,4.567814278267334e-05
27417975951.903805,4.4669037271887097e-05
27498116232.464928,4.375114727441779e-05
27578256513.02605,4.2925570922451635e-05
27658396793.587173,4.219321415119008e-05
27738537074.148296,4.155479030858293e-05
27818677354.709415,4.101082025889148e-05
27898817635.27054,4.056163297045556e-05
27978957915.83166,4.020736657602913e-05
28059098196.392784,3.9947969892174063e-05
28139238476.953907,3.978320438249959e-05
28219378757.51503,3.9712646547986165e-05
28299519038.07615,3.9735690726271405e-05
28379659318.63727,3.9851552280587604e-05
28459799599.198395,4.005927115803766e-05
28539939879.759518,4.035771579607712e-05
28620080160.32064,4.074558735543203e-05
28700220440.88176,4.122142425722737e-05
28780360721.442883,4.178360700181244e-05
28860501002.004005,4.2430363246659916e-05
28940641282.56513,4.315977312075483e-05
29020781563.12625,4.3969774753088167e-05
29100921843.687374,4.485816999320123e-05
29181062124.248493,4.58226303021952e-05
29261202404.809616,4.686070279319847e-05
29341342685.37074,4.796981640097041e-05
29421482965.93186,4.914728816110051e-05
29501623246.492985,5.0390329580111714e-05
29581763527.054108,5.1696053078703096e-05
29661903807.615227,5.3061478491337406e-05
29742044088.17635,5.448353960639124e-05
29822184368.737473,5.595909073212364e-05
29902324649.298595,5.7484913274776016e-05
29982464929.85972,5.905772231616583e-05
30062605210.42084,6.067417317919519e-05
30142745490.98196,6.233086797071415e-05
30222885771.543083,6.402436209219506e-05
30303026052.104206,6.575117070962977e-05
30383166332.66533,6.750777517499372e-05
30463306613.22645,6.929062939249222e-05
30543446893.787575,7.109616612361807e-05
30623587174.348694,7.292080322580724e-05
30703727454.909817,7.476094982016942e-05
30783867735.47094,7.661301238439029e-05
30864008016.032063,7.847340076744132e-05
30944148296.593185,8.033853412322509e-05
31024288577.154305,8.220484676066412e-05
31104428857.715427,8.406879390807898e-05
31184569138.27655,8.59268573899485e-05
31264709418.837673,8.777555121431824e-05
31344849699.398796,8.961142706923788e-05
31424989979.95992,9.143107972663526e-05
31505130260.521038,9.323115235201871e-05
31585270541.08216,9.500834171829546e-05
31665410821.643284,9.675940332186023e-05
31745551102.204407,9.848115639889174e-05
31825691382.76553,0.000100170488839558
31905831663.326653,0.00010182436199752304
31985971943.88777,0.00010343981539183192
32066112224.448895,0.00010501397129787288
32146252505.010017,0.00010654403922373373
32226392785.57114,0.00010802732026786172
32306533066.132263,0.00010946121135350715
32386673346.693386,0.00011084320933500903
32466813627.254505,0.00011217091497054987
32546953907.815628,0.00011344203675558453
32627094188.37675,0.00011465439461073649
32707234468.937874,0.0001158059234175755
32787374749.498997,0.00011689467639531307
32867515030.06012,0.00011791882831113284
32947655310.62124,0.00011887667851657554
33027795591.18236,0.00011976665380214866
33107935871.743484,0.00012058731106213013
33188076152.304607,0.00012133733976139505
33268216432.86573,0.00012201556419599517
33348356713.42685,0.00012262094553920936
33428496993.987972,0.00012315258366481276
33508637274.549095,0.00012360971873942578
33588777555.110218,0.00012399173257599043
33668917835.67134,0.0001242981497406627
33749058116.232464,0.00012452863840574957
